taxid,abundance_ls,taxid,residuals,abundance_br
303,0.05016847905829076,303,0.024868737389398102,0.06226160272010218
562,0.05017581090900804,562,0.03541272920363372,0.05068940641913942
820,0.050097500765977784,820,0.04351134663008181,0.04612861661479668
823,0.050329707514315744,823,0.04585165684506193,0.04512859962731747
907,0.050070959593323014,907,0.06799612378421879,0.05269910307967575
1282,0.04926025567558019,1282,0.08707056537357402,0.0322362503859423
1309,0.04952500676001819,1309,0.07474627259956299,0.03688761424051988
1423,0.049915594233569796,1423,0.04035925371162012,0.04330232690447744
1531,0.05023438663256638,1531,0.04091209429261358,0.04891198262602666
1584,0.05017670292074027,1584,0.08378782376274063,0.050045210384101285
1747,0.050016136537012076,1747,0.05223055914353694,0.059974235354808024
33035,0.05013146996773217,33035,0.038150779127312254,0.04564179248545565
39491,0.05001331204090153,39491,0.04128038604315856,0.041418271730524606
74426,0.05008750686601434,74426,0.05596769131166736,0.06053485051008308
216816,0.10063344842008531,216816,0.03583869819982384,0.11996940588217621
239935,0.05006775121751601,239935,0.04169029675017143,0.05556554371040296
292800,0.05015246514840968,292800,0.0395464182849963,0.06086359685130791
411483,0.05019397176495605,411483,0.04882720210528836,0.056338112485757284
437897,0.04874953397398256,437897,0.03219851523596958,0.0314034779873852
